iter	Passed	Remaining
1355	54478	274639
1356	54518	274599
1357	54558	274561
1358	54598	274520
1359	54639	274482
1360	54683	274460
1361	54723	274421
1362	54764	274387
1363	54806	274352
1364	54846	274314
1365	54887	274277
1366	54929	274243
1367	54971	274216
1368	55011	274172
1369	55051	274132
1370	55094	274106
1371	55135	274071
1372	55176	274032
1373	55217	273996
1374	55259	273966
1375	55300	273930
1376	55341	273893
1377	55379	273843
1378	55419	273801
1379	55460	273765
1380	55498	273715
1381	55540	273681
1382	55581	273645
1383	55622	273612
1384	55664	273580
1385	55706	273547
1386	55747	273512
1387	55788	273474
1388	55829	273441
1389	55870	273402
1390	55912	273370
1391	55952	273333
1392	55993	273293
1393	56042	273296
1394	56082	273258
1395	56125	273231
1396	56166	273194
1397	56205	273149
1398	56247	273116
1399	56284	273060
1400	56316	272978
1401	56363	272973
1402	56409	272963
1403	56454	272943
1404	56496	272914
1405	56539	272886
1406	56581	272854
1407	56622	272816
1408	56664	272785
1409	56705	272751
1410	56746	272712
1411	56786	272670
1412	56827	272634
1413	56872	272619
1414	56916	272596
1415	56962	272583
1416	57006	272561
1417	57049	272535
1418	57093	272510
1419	57141	272506
1420	57181	272465
1421	57223	272436
1422	57267	272414
1423	57310	272385
1424	57365	272414
1425	57431	272496
1426	57491	272551
1427	57531	272508
1428	57578	272502
1429	57624	272488
1430	57663	272440
1431	57695	272362
1432	57738	272333
1433	57783	272315
1434	57825	272284
1435	57868	272253
1436	57910	272225
1437	57952	272190
1438	57995	272162
1439	58038	272136
1440	58079	272099
1441	58120	272063
1442	58164	272039
1443	58206	272007
1444	58248	271976
1445	58292	271950
1446	58344	271965
1447	58385	271928
1448	58429	271902
1449	58474	271887
1450	58517	271859
1451	58559	271826
1452	58613	271849
1453	58665	271862
1454	58709	271838
1455	58752	271809
1456	58793	271775
1457	58835	271738
1458	58877	271706
1459	58920	271681
1460	58964	271656
1461	59007	271630
1462	59049	271593
1463	59092	271567
1464	59160	271652
1465	59200	271611
1466	59229	271520
1467	59267	271465
1468	59308	271429
1469	59347	271385
1470	59388	271344
1471	59432	271323
1472	59475	271295
1473	59518	271264
1474	59561	271237
1475	59605	271211
1476	59646	271173
1477	59686	271135
1478	59732	271120
1479	59775	271090
1480	59818	271062
1481	59860	271027
1482	59904	271004
1483	59945	270966
1484	59986	270929
1485	60028	270896
1486	60070	270861
1487	60106	270804
1488	60144	270749
1489	60184	270710
1490	60224	270668
1491	60265	270631
1492	60303	270579
1493	60345	270547
1494	60388	270514
1495	60431	270486
1496	60474	270457
1497	60516	270424
1498	60558	270391
1499	60603	270372
1500	60644	270336
1501	60688	270308
1502	60725	270253
1503	60762	270198
1504	60806	270174
1505	60849	270144
1506	60891	270113
1507	60934	270081
1508	60973	270037
1509	61016	270007
1510	61056	269966
1511	61098	269933
1512	61140	269901
1513	61186	269884
1514	61227	269846
1515	61265	269796
1516	61309	269769
1517	61353	269746
1518	61403	269746
1519	61449	269732
1520	61494	269709
1521	61539	269690
1522	61581	269657
1523	61626	269634
1524	61669	269605
1525	61712	269578
1526	61758	269561
1527	61798	269519
1528	61841	269489
1529	61883	269455
1530	61927	269429
1531	61968	269393
1532	62008	269351
1533	62051	269323
1534	62093	269287
1535	62130	269233
1536	62163	269160
1537	62200	269104
1538	62241	269064
1539	62283	269033
1540	62324	268992
1541	62360	268935
1542	62401	268898
1543	62444	268865
1544	62486	268834
1545	62528	268798
1546	62569	268762
1547	62623	268779
1548	62663	268736
1549	62700	268682
1550	62753	268696
1551	62793	268653
1552	62831	268602
1553	62874	268573
1554	62916	268539
1555	62959	268507
1556	63000	268470
1557	63042	268437
1558	63086	268410
1559	63128	268379
1560	63170	268341
1561	63211	268305
1562	63253	268270
1563	63297	268244
1564	63343	268227
1565	63385	268195
1566	63427	268160
1567	63466	268115
1568	63503	268059
1569	63544	268018
1570	63585	267980
